Country Name,n Jahre,Spearman ρ,p-Spearman,Kendall τ_b,p-Kendall
Singapore,54,0.98,0.0,0.898,0.0
Luxembourg,54,0.961,0.0,0.842,0.0
Netherlands,55,0.943,0.0,0.797,0.0
Qatar,11,0.936,0.0,0.855,0.0
Denmark,58,0.91,0.0,0.722,0.0
China,35,0.89,0.0,0.714,0.0
United Arab Emirates,14,0.89,0.0,0.758,0.0
Ireland,54,0.889,0.0,0.694,0.0
Gabon,39,0.881,0.0,0.727,0.0
Switzerland,54,0.832,0.0,0.646,0.0
Kazakhstan,30,0.832,0.0,0.66,0.0
Bahrain,44,0.824,0.0,0.631,0.0
Sweden,64,0.81,0.0,0.591,0.0
Norway,54,0.796,0.0,0.627,0.0
Oman,51,0.755,0.0,0.605,0.0
Germany,54,0.754,0.0,0.497,0.0
Azerbaijan,32,0.746,0.0,0.508,0.0
Russian Federation,31,0.741,0.0,0.518,0.0
Malaysia,64,0.733,0.0,0.548,0.0
Czechia,31,0.693,0.0,0.48,0.0
Malta,39,0.632,0.0,0.447,0.0
Poland,29,0.577,0.001,0.409,0.002
Austria,54,0.576,0.0,0.385,0.0
Israel,54,0.574,0.0,0.372,0.0
"Congo, Rep.",37,0.571,0.0,0.435,0.0
"Korea, Rep.",64,0.566,0.0,0.354,0.0
Saudi Arabia,52,0.561,0.0,0.431,0.0
Equatorial Guinea,13,0.56,0.046,0.385,0.076
Panama,13,0.522,0.067,0.256,0.252
Cuba,16,0.497,0.05,0.417,0.026
Lithuania,29,0.471,0.01,0.345,0.008
Iraq,31,0.446,0.012,0.351,0.005
Angola,22,0.382,0.079,0.299,0.054
Paraguay,62,0.372,0.003,0.206,0.018
Estonia,31,0.348,0.055,0.157,0.223
Slovenia,32,0.343,0.055,0.226,0.072
Slovak Republic,31,0.334,0.066,0.187,0.145
Kuwait,51,0.332,0.017,0.261,0.007
Thailand,64,0.332,0.007,0.164,0.056
Viet Nam,24,0.33,0.115,0.13,0.389
"Venezuela, RB",55,0.32,0.017,0.218,0.019
Belize,39,0.32,0.047,0.242,0.03
Belarus,29,0.252,0.188,0.123,0.361
Brunei Darussalam,45,0.24,0.112,0.137,0.183
Ecuador,64,0.237,0.06,0.116,0.175
Zambia,25,0.236,0.256,0.153,0.297
South Africa,64,0.23,0.068,0.156,0.069
New Zealand,54,0.226,0.1,0.164,0.08
Hungary,33,0.208,0.246,0.091,0.469
Italy,54,0.175,0.207,0.167,0.075
Belgium,54,0.167,0.227,0.094,0.314
Timor-Leste,19,0.163,0.505,0.076,0.679
Algeria,63,0.158,0.216,0.127,0.141
Peru,64,0.145,0.253,0.065,0.444
Turkmenistan,6,0.143,0.787,0.2,0.719
Indonesia,50,0.111,0.444,0.074,0.447
Lao PDR,22,0.109,0.629,0.048,0.781
Chile,64,0.079,0.535,0.077,0.366
Uruguay,52,0.07,0.622,0.024,0.801
Bulgaria,35,0.047,0.787,-0.022,0.854
Cote d'Ivoire,56,0.045,0.742,0.065,0.48
Spain,54,0.037,0.793,-0.052,0.576
Papua New Guinea,27,0.017,0.933,-0.037,0.804
Zimbabwe,45,0.012,0.937,0.008,0.938
"Iran, Islamic Rep.",64,-0.013,0.92,-0.007,0.935
Finland,54,-0.034,0.804,-0.008,0.935
Japan,54,-0.051,0.713,0.029,0.76
Latvia,29,-0.074,0.703,-0.089,0.515
Australia,64,-0.083,0.514,-0.129,0.132
Cyprus,39,-0.084,0.611,-0.045,0.69
Guinea-Bissau,32,-0.126,0.49,-0.073,0.573
Croatia,29,-0.127,0.511,-0.128,0.342
Botswana,47,-0.132,0.376,-0.04,0.693
Guyana,30,-0.136,0.474,-0.062,0.646
Brazil,63,-0.147,0.25,-0.11,0.202
