Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Afghanistan,-15555546.666666701,-19999991.1111111,-24444431.111111097,-57777795.555555806,-73333306.66666658,-102222208.88888901,-139999993.333333,-124444444.444444,-86666671.111111,-68888895.555556,-37777795.555556,-95555560.0,-53333333.33333403,-31111124.444444,-17777777.77777803,-37777771.111111045,-42222228.888888955,-93333344.44444501,-100000017.77777803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5162251667.33856,-3240927741.05311,-5237185134.982491,-5811514183.59574
Albania,,,,,,,,,,,,,,,,,,,,,6642094.736841977,27494184.14918405,-86818158.50815898,-50920757.57575697,-37797202.797203004,-43519825.174826026,-8912475.0,-2074975.0,-60287525.0,-64875012.5,-175000000.0,-232016659.72222197,-546433224.2694829,-575597170.361298,-548018721.767072,-534278929.852477,-692875123.2895591,-565335446.489435,-641664593.8078849,-556580521.3613288,-808260374.4236431,-934409230.126692,-1158057359.453815,-1421155653.3669202,-1624605875.4891899,-2000648461.3526702,-2121524827.8354397,-2851523668.1283402,-3458245896.24382,-2964490558.45704,-2455100566.19383,-2930778122.42256,-2295828834.1768103,-2304969338.88009,-2510946150.9290895,-1966079569.2708602,-1999094266.6693501,-1960074591.2878003,-2071012479.39433,-2105530494.1986694,-2200742017.3267903,-2402634867.56721,-1959516573.6542006,-1215863579.9095898
Algeria,-765348446.24129,-517608090.64503,-20510283.448044002,-328164535.16870403,-126721206.54802692,-101274847.783903,40509939.11356199,60764908.67034304,-40509939.11356199,-182294786.77592993,-344334543.2301799,-468180171.22368884,-357101806.3771701,-529969047.2795601,430545117.50285053,-1443254204.1743908,-720491495.1997194,-2339177207.8332005,-3857888449.0279703,-570943669.3589993,1693833066.228899,1645114472.1916008,871043283.904501,1044102802.3722,-943135164.4217014,-1829825549.9423008,-6571229225.932681,-2763033270.6358814,-4192895865.5514507,-5493813610.936499,-926597363.9097004,2522617372.769499,696095511.6704998,-676792325.7880993,-1498790715.5528889,-1170007106.3915005,2730002864.1653996,4609976585.2846985,30000489.623901367,2612547339.327902,11659995020.9801,8147248965.975201,5957664162.124599,9970802367.9832,14180370410.46,23445463436.831398,31525542338.7438,31196364969.318398,36556358658.96179,1333701926.3879013,11529793186.977203,21300645646.652496,18189545504.7333,5622451756.6185,-4025154588.3216934,-22777389611.686302,-23115278741.229,-17380666509.228996,-10875510421.686897,-11009709488.509705,-15365137785.4623,96235573.54859924,23501557009.3238,8805978887.3964
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1355564424.49263,844580138.0770702,3104342456.0837,9043664059.933,16924606577.5971,18112408545.949203,20882153288.7894,-3467229994.1079025,15890556104.668999,23875370935.676094,25713235399.249893,19430344045.6736,13674366440.101196,-3058163807.2871017,1518908204.3283005,4238202146.504402,12151638218.349499,16839664248.360401,5183387334.428301,13983404110.3848,19932222760.668198,12445363179.309704
Argentina,,,-1147183292.0585103,396.48212003707886,391.76579999923706,588235263.81481,476190458.7353902,606060620.2553499,285714230.39619994,0.0,273421120.49134994,-199999955.32971025,125000067.99948025,1000000034.3584499,444444349.71487045,-81081003.15741014,1665000247.3394198,1300000007.9007196,2576185988.06293,125448026.28133965,-1094188525.3182898,-354736981.0787897,2166280922.4949303,3447293429.5718,3312681835.9866505,4815481323.808729,1945851942.0521402,323648994.7372103,4212460577.2091703,4964855540.625579,8096981411.089129,3029889879.391699,-3510854173.3542004,-5692332332.332399,-7914860000.0,-1059485000.0,-1767000000.0,-6485300000.0,-7530100000.0,-4900400000.0,-1846455600.0,3508536600.0,14670786469.0802,14311606659.1997,11530324282.126102,11805942344.432304,13069507211.538498,12594785132.709305,13446803975.217796,16864736858.957298,12270934023.351799,8971671281.270203,10642160447.066101,-549718918.4732971,2127192190.9841003,-6393090842.805496,-5796649660.272995,-17049937664.175293,-9914710860.213104,14413857778.031006,11599718810.118698,14863213106.599396,6000880378.053207,-7378312554.971893
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-255697111.071239,-401038961.038957,-272835453.426343,-162600028.47785795,-444172286.37153596,-561763793.801958,-523000193.218047,-623026905.829596,-640769078.29534,-536001569.917392,-533526836.51946306,-457007710.87810296,-435351356.0652349,-535738030.65120995,-596906551.6918101,-760226628.35818,-1068640766.7602098,-1896160477.68319,-3033398111.05293,-2415579339.36988,-2328604915.0069704,-2473579646.4503403,-2212859671.6197295,-2318611567.5555296,-2166115015.0275803,-1290809519.0419202,-905850641.8819098,-1241540182.7019796,-1705158079.2346306,-1826694344.5273209,-1258965739.9233394,-1090467078.2301397,-187489154.63538933,-195208163.47330093
Australia,-198240031.71841002,-515200082.4320202,260960041.75360966,-178080028.49280977,278880044.62081003,-530880084.9408097,-599200095.8720202,-306880049.1008096,-714560114.3296199,-505120080.8192196,-100800016.12800026,-124320019.89120007,442757009.3457899,1997437540.0384302,-57479734.70890045,-441076061.723299,146216890.06760025,-695113558.1555004,-1142531027.6688995,-1412018630.012497,788857938.7185974,-3235806339.2546005,-6378682555.445198,-3597492611.289303,-2760339500.0236015,-3693359852.91,-5591074426.413002,-3024086818.4223976,-1557034010.2792969,-5487302419.6568985,-5989166710.914001,-431670147.4976959,885181704.501503,-999859471.6132965,-1661016949.1526031,-7226017226.017204,-1817145814.001709,1194238230.9622955,-3507427253.611908,-9508710364.707397,-8967396082.706802,326284934.75909424,16743083.144592285,-9762376237.62381,-16501636079.100998,-18867201154.674988,-13863452925.205994,-14030776477.977997,-26920535671.11902,2610816111.9599915,-10673454647.946991,14312855738.601013,-2754284040.8270264,-20813947642.990967,-4534241834.187988,-20697527561.899017,-29164313042.668,4102721899.561035,744116826.3410034,29690840210.583984,45020248017.26303,59325202687.724976,88624742688.43298,75573099651.36102
Austria,,,,,,,,,,,-11818999.735380173,-55318867.71671009,-95890231.56140041,-182431653.6650505,-471183009.42280006,-164188986.33169937,-1035864846.2068996,-2252386978.6028996,-892189898.6069984,-1150221307.256897,-2821896405.020199,-1701433385.1736984,-451973864.6445999,-1093202849.7012024,-729464961.1444016,-166890130.3539009,-18986029.743198395,-51301697.8667984,-560959545.3026047,-676119604.7842026,-155715841.70400238,-1507547436.6529007,-2574318807.9138947,-642069087.8977966,-3399096494.398201,-2869134707.247101,-3760718741.8768005,-1726846318.637909,-491312805.6914978,986217301.8189087,2628000042.740387,3354580395.4725037,7912464486.382004,7221564356.052002,8869129249.071991,10132963489.468994,12089354977.320007,17079360546.28299,19114143977.64099,13469366425.444977,13733951385.81601,12049576179.173004,11430475736.220001,11919802292.886017,14102094279.524994,13946204238.825012,14776305347.926025,12846082512.785004,13697443777.455994,15877995063.434998,14673802549.242004,4201447220.747986,-2161217001.130005,10823236212.507996
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,412121212.12121964,238000000.0,140544280.44280398,-291552888.2220601,-70480026.74775904,-505715926.76635313,-984477822.222067,-951353385.8169,-1415223571.98242,-636139572.08024,94542991.91691017,238694236.22676015,-454141482.3013401,-1712779973.6495404,-2077142880.4024801,1329883723.7590504,5821623043.388279,13092863036.11137,20668678951.340103,12635499879.9427,17789932718.6644,21333036168.806396,19291792094.393696,16430881241.388298,12838832812.517998,1585942898.6379013,1051937618.2065983,2735372467.906698,7779216325.483799,5917294117.647102,-329058823.5293999,9150705882.352901,25999705882.3529,10470941176.4706
Bahrain,,,,,,,,,,,,,,,,,,,,,272486335.8981199,385638031.91489935,444947074.46808004,139361170.21277,103191489.36170006,435638563.8297801,424202127.65958023,507712765.9574399,660638297.8723402,425531914.89362,886169680.8510599,-490957712.7659602,-587234042.5531898,163563829.78722954,401329787.23404026,673670212.7659597,714627393.6170197,607713031.9148903,44414627.65958023,1052925531.9148998,2043882978.7233992,1812765957.4468098,1331914893.6170301,1775797872.3404303,2166223404.255349,3109840425.5319004,4103191489.3617,4688031914.893702,4955053191.489401,4350797872.3405,4783271276.5958,7102686170.212803,5659813829.787201,5771542553.191498,5520186170.2127,3348670212.7658997,2692260638.2978973,2855877659.574402,2910372340.425503,4356648936.1703,1952393617.0212975,7657180851.063797,11513031914.893597,7970212765.9575
