Country Name,n Jahre,Spearman ρ,p-Spearman,Kendall τ_b,p-Kendall
Uzbekistan,10,1.0,0.0,1.0,0.0
"Korea, Rep.",64,0.997,0.0,0.97,0.0
Estonia,31,0.996,0.0,0.97,0.0
India,64,0.995,0.0,0.959,0.0
China,35,0.995,0.0,0.97,0.0
Singapore,54,0.995,0.0,0.969,0.0
Nepal,54,0.994,0.0,0.952,0.0
Mexico,64,0.993,0.0,0.951,0.0
Denmark,64,0.992,0.0,0.944,0.0
Brazil,64,0.991,0.0,0.934,0.0
Australia,64,0.991,0.0,0.941,0.0
Poland,34,0.991,0.0,0.95,0.0
Spain,64,0.99,0.0,0.933,0.0
Luxembourg,64,0.99,0.0,0.932,0.0
Bangladesh,51,0.99,0.0,0.945,0.0
Austria,64,0.99,0.0,0.936,0.0
Morocco,64,0.989,0.0,0.927,0.0
Pakistan,64,0.989,0.0,0.932,0.0
Israel,64,0.989,0.0,0.94,0.0
Cote d'Ivoire,56,0.988,0.0,0.932,0.0
Philippines,63,0.988,0.0,0.917,0.0
Greece,64,0.988,0.0,0.932,0.0
France,64,0.988,0.0,0.932,0.0
Colombia,64,0.987,0.0,0.919,0.0
Portugal,64,0.987,0.0,0.924,0.0
Italy,64,0.986,0.0,0.923,0.0
Togo,54,0.985,0.0,0.922,0.0
Ecuador,64,0.985,0.0,0.915,0.0
Netherlands,64,0.984,0.0,0.922,0.0
Norway,64,0.984,0.0,0.917,0.0
Kyrgyz Republic,30,0.983,0.0,0.922,0.0
Mali,55,0.983,0.0,0.925,0.0
New Zealand,64,0.982,0.0,0.908,0.0
Finland,64,0.981,0.0,0.9,0.0
Azerbaijan,32,0.98,0.0,0.907,0.0
Belize,41,0.98,0.0,0.905,0.0
Bahrain,53,0.978,0.0,0.903,0.0
Cameroon,54,0.978,0.0,0.895,0.0
Japan,64,0.977,0.0,0.927,0.0
Burkina Faso,64,0.976,0.0,0.896,0.0
Thailand,64,0.975,0.0,0.904,0.0
Armenia,30,0.975,0.0,0.885,0.0
United Kingdom,64,0.975,0.0,0.892,0.0
